"Number of Seats","Average Distance To Focal Point","Obstructed Views Ratio","Curvature","Bottom Row Length between Aisles","Number of Rows","Incline","Bottom Row End"
692,49.8774177725003,0.727272727272727,0.5,22,11,0.45,41.7
1252,59.9945578576943,0.791666666666667,0.2,22,28,0.35,32.1
656,44.9154114405196,0.853333333333333,0.2,23,25,0.25,14.9
1160,49.3744298706789,0.888888888888889,0.5,24,24,0.35,16.2
902,53.3513797552754,0.896551724137931,0.3,24,29,0.45,12.1
744,41.0554535917251,0.796296296296296,0.5,22,18,0.45,16.6
1578,68.5619442027347,0.747474747474748,0.5,20,22,0.55,42.3
2622,84.919228176969,0.697318007662835,0.5,22,29,0.55,48.4
662,49.5383879082665,0.864197530864197,0.2,24,27,0.45,13.3
1458,68.2010333628688,0.567901234567901,0.6,21,18,0.55,46.1
1194,59.4560930152274,0.666666666666667,0.3,22,20,0.25,46.4
1164,53.5135492791921,0.894736842105263,0.680297854086846,20,19,0.45,26.3
664,43.7160576554822,0.642857142857143,0.2,22,14,0.35,40
288,37.8289019194274,0.954545454545455,0.1,21,22,0.35,10.8
490,34.9922432464315,0.666666666666667,0.5,24,13,0.55,18.3
504,39.3770809620092,0.708333333333333,0.3,24,12,0.35,33.4
356,33.3945759068001,0.621212121212121,0.2,23,11,0.45,29.6
1430,54.6510341235605,0.819444444444444,0.6,21,24,0.55,18.2
198,22.4395095658502,0.814814814814815,0.6,20,9,0.45,10.5
308,33.4539242418515,0.604166666666667,0.3,21,8,0.45,32.9
1376,60.6930531670451,0.845679012345679,0.3,24,27,0.35,31.1
842,52.4215581488662,0.797619047619048,0.1,23,28,0.35,22.2
1416,61.2405205381656,0.69047619047619,0.3,24,21,0.25,46.7
240,32.5041852617999,0.5,0.3,24,6,0.55,35.4
536,41.2832464401442,0.736111111111111,0.5,24,12,0.55,28.5
2976,88.0341012747003,0.808429118773946,0.6,23,29,0.45,49.5
1326,53.4447967905463,0.84,0.5,23,25,0.45,17.9
1152,55.0937359758584,0.875,0.4,23,24,0.35,26.2
2940,87.3470121880164,0.81992337164751,0.6,24,29,0.45,48.7
580,51.6579345132789,0.775641025641026,0.1,21,26,0.55,21.6
728,52.1185732922057,0.75,0.1,21,26,0.45,25.9
2032,70.8082622374653,0.827777777777778,0.3,21,30,0.25,41
1208,59.5365181089807,0.68452380952381,0.1,22,28,0.35,37.4
520,39.1918696334523,0.726190476190476,0.3,23,14,0.35,28.7
228,26.6328806757873,0.462962962962963,0.1,24,9,0.45,26.9
264,33.9592044255107,0.666666666666667,0.3,23,6,0.25,38.4
432,39.1530767760353,0.740740740740741,0.2,20,18,0.45,21
420,32.894567645643,0.694444444444444,0.3,24,12,0.35,23.4
920,54.6194160847003,0.740740740740741,0.1,24,27,0.35,30.5
960,53.5507320905225,0.833333333333333,0.5,21,15,0.45,38.5
852,42.9665959406389,0.784313725490196,0.6,22,17,0.45,19.3
1386,64.6515523388893,0.708994708994709,0.4,21,21,0.45,44.7
708,46.7762274647638,0.607142857142857,0.3,21,14,0.55,38.3
2304,78.6939796715004,0.933333333333333,0.6,20,25,0.35,47.1
884,51.1106579738553,0.976190476190476,0.6,21,14,0.35,35
1204,57.6816277708821,0.541666666666667,0.2,24,20,0.45,47.3
492,39.411447718429,0.783333333333333,0.2,22,20,0.45,15.5
520,39.7050296585305,0.686274509803922,0.2,23,17,0.35,26
678,50.849164953636,0.869047619047619,0.2,21,28,0.45,12.7
1182,60.5633369743484,0.513227513227513,0.2,22,21,0.55,48.2
116,18.3233244101971,0.277777777777778,0.1,24,6,0.55,18.7
1160,62.5458069223302,0.666666666666667,0.1,24,29,0.55,34.5
212,24.2636890783357,0.518518518518518,0.3,22,9,0.45,16.9
1080,54.0065423736019,0.658730158730159,0.2,21,21,0.35,40
1000,52.8899315118017,0.988888888888889,0.680297854086846,21,15,0.35,33.2
336,31.6108799937643,0.770833333333333,0.2,22,16,0.35,14.4
74,15.0796176009631,0.857142857142857,0.2,20,7,0.25,10.2
1062,49.2161738882071,0.861111111111111,0.4,23,24,0.35,17.8
104,17.1485470887875,0.388888888888889,0.2,21,6,0.25,15.8
1114,48.578045199127,0.902777777777778,0.5,20,24,0.35,15.2
