"Number of Seats","Average Distance To Focal Point","Obstructed Views Ratio","Curvature","Bottom Row Length between Aisles","Number of Rows","Incline","Bottom Row End"
344,30.5525933356761,0.733333333333333,0.2,23,15,0.25,16.2
408,38.3876217917495,0.666666666666667,0.3,23,9,0.55,37.4
1068,56.1990471207948,0.507936507936508,0.1,21,21,0.45,49.4
2244,78.0131574274308,0.863247863247863,0.5,21,26,0.35,48.5
1372,60.4083457886717,0.810606060606061,0.4,22,22,0.45,36.6
186,24.2837589741219,0.696969696969697,0.3,20,11,0.55,11.3
1166,57.2498957112702,0.833333333333333,0.3,24,28,0.55,18.4
452,35.5051494728189,0.708333333333333,0.2,22,16,0.45,19.8
382,31.2116497133225,0.844444444444444,0.5,21,15,0.45,10.3
630,45.6450841437609,0.606837606837607,0.2,21,13,0.35,45.6
256,29.1861553174873,0.541666666666667,0.2,21,8,0.35,30.4
1872,67.5461714152616,0.913333333333333,0.6,24,25,0.55,31.7
1044,49.9687863685787,0.833333333333333,0.4,23,24,0.45,17.3
888,47.6245662378399,0.815789473684211,0.6,21,19,0.45,21.1
128,20.7744506040018,0.733333333333333,0.2,21,10,0.45,10.8
140,19.7447968756288,0.476190476190476,0.4,21,7,0.45,13.3
312,32.8490080123236,0.625,0.2,21,8,0.35,36.2
1608,68.4461960354456,0.768518518518518,0.4,21,24,0.45,43.4
548,40.9032146011463,0.847222222222222,0.5,20,12,0.35,29.2
396,36.3158642742966,0.774509803921569,0.1,20,17,0.35,24
1136,58.8480247182166,0.59375,0.4,24,16,0.45,47.3
2044,70.7679445576551,0.926666666666667,0.5,22,25,0.35,41.3
592,41.7004558553102,0.719298245614035,0.2,22,19,0.55,20.5
402,51.5602846374167,0.407407407407407,0.680297854086846,22,6,0.55,46.3
732,49.6607037387075,0.515873015873016,0.2,22,14,0.55,48.1
420,35.4734213474297,0.755555555555556,0.3,20,15,0.25,21.6
804,50.9665058621738,0.793333333333333,0.2,23,25,0.35,24.3
1372,59.7291292682315,0.896825396825397,0.5,24,21,0.45,34.3
380,35.1602812685594,0.766666666666667,0.5,22,10,0.35,25.9
1456,63.7697134991314,0.845238095238095,0.4,24,28,0.55,25.8
2040,70.7457691952906,0.886904761904762,0.4,23,28,0.35,39.2
208,27.1095205646974,0.380952380952381,0.2,20,7,0.45,28.9
1240,57.4369012836713,0.833333333333333,0.4,22,22,0.45,32.5
936,51.0763756973509,0.796296296296296,0.4,20,18,0.45,32.5
960,47.2816039589368,0.888888888888889,0.5,21,24,0.45,12.1
1332,58.5874942793457,0.916666666666667,0.5,22,20,0.35,35.8
828,48.3347591911966,0.8,0.4,20,20,0.45,24.3
240,29.7922445226388,0.428571428571429,0.2,23,7,0.55,32.7
1104,46.1007167576561,0.958333333333333,0.680297854086846,21,24,0.35,10.3
132,19.2716083083933,0.333333333333333,0.2,24,7,0.35,16.5
630,40.5833484000667,0.816666666666667,0.2,23,20,0.25,20.5
738,57.4423520420585,0.933333333333333,0.680297854086846,22,10,0.35,46.5
568,41.2338068280718,0.782051282051282,0.5,22,13,0.45,27.1
776,47.3435714899045,0.8,0.4,24,15,0.35,34.6
478,32.594538275681,0.861111111111111,0.680297854086846,24,12,0.35,16.2
352,32.8452995960175,0.648148148148148,0.1,22,9,0.35,38.5
1324,60.283361991397,0.833333333333333,0.4,21,25,0.55,28
656,45.6691500099355,0.791666666666667,0.4,22,12,0.25,38.9
216,24.1990717816582,0.533333333333333,0.2,23,10,0.35,17.3
428,45.6253656276555,0.666666666666667,0.4,24,7,0.45,47.9
696,44.1644747263742,0.833333333333333,0.4,23,18,0.35,24
924,53.5329194427414,0.880952380952381,0.5,24,14,0.35,41
1536,66.4543462555984,0.806763285024155,0.4,20,23,0.35,44
828,47.0225077703477,0.87962962962963,0.4,20,18,0.25,28.7
700,39.0175549251029,0.791666666666667,0.6,23,16,0.45,16.6
1352,59.7985725320107,0.853333333333333,0.4,23,25,0.45,29.1
712,46.1840192945433,0.607843137254902,0.2,21,17,0.55,34.4
512,39.8025109144007,0.783333333333333,0.2,21,20,0.45,16.2
438,49.8739393211771,0.650793650793651,0.5,23,7,0.35,49.6
852,47.613244217379,0.87037037037037,0.4,22,18,0.25,29.5
1140,56.7283658392611,0.846153846153846,0.4,22,26,0.45,22.5
356,35.1718072995353,0.777777777777778,0.5,21,9,0.35,27.8
314,29.9703674309391,0.555555555555556,0.4,24,9,0.45,22.7
2056,68.3536596876548,0.974358974358974,0.6,24,26,0.35,33.3
640,42.3844341142375,0.8125,0.4,23,16,0.35,25.8
334,29.1090508748387,0.696969696969697,0.4,21,11,0.35,18
378,44.2339626271701,0.698412698412698,0.4,21,7,0.45,46.2
868,49.1373565544769,0.807017543859649,0.5,22,19,0.55,23.8
1102,55.5652665336642,0.827160493827161,0.3,24,27,0.55,18.4
1014,62.4624658358266,0.837606837606838,0.6,22,13,0.35,49.8
288,39.4242441026534,0.666666666666667,0.3,21,6,0.35,46.1
3468,89.0092187361183,0.866666666666667,0.680297854086846,24,30,0.45,45.8
740,45.6442205160146,0.645833333333333,0.2,24,16,0.35,38.4
100,17.4278924385562,0.444444444444444,0.3,23,6,0.45,13.7
428,39.3455749126504,0.685185185185185,0.3,21,9,0.45,39.3
408,35.6869224851006,0.833333333333333,0.680297854086846,22,10,0.35,23
610,37.9355035426651,0.69047619047619,0.6,24,14,0.55,18.3
226,25.9345947175871,0.575757575757576,0.2,24,11,0.55,15.9
592,46.8542495066493,0.7,0.4,24,10,0.35,44
1328,56.3771169913806,0.913333333333333,0.5,22,25,0.25,24.3
1152,58.5188768382258,0.803571428571429,0.2,21,28,0.35,29.5
532,43.1717394274158,0.9,0.6,20,10,0.45,32.6
1578,66.8771201094508,0.686507936507937,0.2,22,28,0.25,45.7
792,46.9283691127136,0.768518518518518,0.3,20,18,0.35,31.2
848,54.4392321762721,0.819444444444444,0.6,21,12,0.45,41.9
288,34.5810154707875,0.785714285714286,0.5,22,7,0.35,30.8
1428,69.0042993077971,0.577777777777778,0.1,20,30,0.55,44.7
1532,66.1795339657591,0.773809523809524,0.3,23,28,0.55,33.1
1648,62.6555204079336,0.925925925925926,0.5,23,27,0.35,27.2
1470,67.2764400358908,0.812865497076023,0.5,23,19,0.35,48.6
286,28.219583883408,0.833333333333333,0.6,21,8,0.25,19.6
680,46.0582141110692,0.7,0.2,23,20,0.45,27.6
768,47.2266629376652,0.78030303030303,0.2,21,22,0.25,27.2
616,48.0832832243812,0.683333333333333,0.6,23,10,0.55,37.8
2592,77.4427712600557,0.938888888888889,0.5,23,30,0.35,39.9
1392,62.9377433633091,0.845238095238095,0.4,21,28,0.55,24.6
218,26.5415891822457,0.692307692307692,0.1,20,13,0.45,15
824,44.6968248517841,0.941176470588235,0.680297854086846,20,17,0.25,21.5
1302,61.2291231885129,0.857142857142857,0.4,20,21,0.25,41.9
